1744296023093122816, 0, 1/24, O
1744296023093414656, 0, 2/19, O
1744296023093709568, 1, 2/24, O
1744296023094060288, 1, 2/22, O
1744296023094353664, 1, 2/24, O
1744296023094645504, 0, 2/24, O
1744296023094937344, 0, 2/24, O
1744296023095228672, 0, 2/20, O
1744296023095523840, 1, 2/24, O
1744296023095815936, 0, 2/24, O
1744296023096108288, 1, 2/24, O
1744296023096399872, 0, 2/24, O
1744296023096691968, 1, 2/24, O
1744296023096984320, 0, 2/21, O
1744296023097278976, 0, 1/24, O
1744296023097571072, 0, 2/23, O
1744296023097863168, 0, 2/22, O
1744296023098155776, 0, 2/24, O
